,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
3138,THBRU,"Thunder Bridge Acquisition II, Ltd. - Units",S,N,N,100.0,N,N
3139,THBRW,"Thunder Bridge Acquisition II, Ltd. - Warrants",S,N,N,100.0,N,N
3140,THCA,Tuscan Holdings Corp. II - Common Stock,S,N,N,100.0,N,N
3141,THCAU,Tuscan Holdings Corp. II - Unit,S,N,N,100.0,N,N
3142,THCAW,Tuscan Holdings Corp. II - Warrant,S,N,N,100.0,N,N
3143,THCB,Tuscan Holdings Corp. - Common Stock,S,N,N,100.0,N,N
3144,THCBU,Tuscan Holdings Corp. - Unit,S,N,N,100.0,N,N
3145,THCBW,Tuscan Holdings Corp. - Warrant,S,N,N,100.0,N,N
3146,THFF,First Financial Corporation Indiana - Common Stock,Q,N,N,100.0,N,N
3147,THMO,"ThermoGenesis Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
3148,THRM,Gentherm Inc - Common Stock,Q,N,N,100.0,N,N
3149,THTX,Theratechnologies Inc. - Common Shares,S,N,N,100.0,N,N
3150,THWWW,Target Hospitality Corp. - Warrant expiring 3/15/2024,S,N,N,100.0,N,N
3151,TIGO,Millicom International Cellular S.A. - Common Stock,Q,N,N,100.0,N,N
3152,TIGR,UP Fintech Holding Limited - American Depositary Shares representing fifteen Class A Ordinary Shares,Q,N,N,100.0,N,N
3153,TILE,"Interface, Inc. - Common Stock",Q,N,N,100.0,N,N
3154,TIPT,Tiptree Inc. - Common Stock,S,N,N,100.0,N,N
3155,TITN,Titan Machinery Inc. - Common Stock,Q,N,N,100.0,N,N
3156,TIVO,TiVo Corporation - Common Stock,Q,N,N,100.0,N,N
3157,TLC,"Taiwan Liposome Company, Ltd. - American Depositary Shares",G,N,N,100.0,N,N
3158,TLF,"Tandy Leather Factory, Inc. - Common Stock",G,N,E,100.0,N,N
3159,TLGT,"Teligent, Inc. - Common Stock",Q,N,D,100.0,N,N
3160,TLND,Talend S.A. - American Depositary Shares,G,N,N,100.0,N,N
3161,TLRY,"Tilray, Inc. - Class 2 Common Stock",Q,N,N,100.0,N,N
3162,TLSA,Tiziana Life Sciences plc - American Depository Share,G,N,N,100.0,N,N
3163,TLT,iShares 20+ Year Treasury Bond ETF,G,N,N,100.0,Y,N
3164,TMDI,Titan Medical Inc. - Ordinary Shares,S,N,D,100.0,N,N
3165,TMDX,"TransMedics Group, Inc. - Common Stock",G,N,N,100.0,N,N
3166,TMSR,TMSR Holding Company Limited - Common Stock,S,N,N,100.0,N,N
3167,TMUS,"T-Mobile US, Inc. - Common Stock",Q,N,N,100.0,N,N
3168,TNAV,"Telenav, Inc. - Common Stock",Q,N,N,100.0,N,N
3169,TNDM,"Tandem Diabetes Care, Inc. - Common Stock",G,N,N,100.0,N,N
3170,TNXP,Tonix Pharmaceuticals Holding Corp. - Common Stock,G,N,D,100.0,N,N
3171,TOCA,Tocagen Inc. - Common Stock,Q,N,N,100.0,N,N
3172,TOPS,TOP Ships Inc. - Common Stock,S,N,D,100.0,N,N
3173,TORC,"resTORbio, Inc. - Common Stock",Q,N,N,100.0,N,N
3174,TOTA,Tottenham Acquisition I Limited - Ordinary Shares,S,N,N,100.0,N,N
3175,TOTAR,Tottenham Acquisition I Limited - Right,S,N,N,100.0,N,N
3176,TOTAU,Tottenham Acquisition I Limited - Unit,S,N,N,100.0,N,N
3177,TOTAW,Tottenham Acquisition I Limited - Warrant,S,N,N,100.0,N,N
3178,TOUR,Tuniu Corporation - American Depositary Shares,G,N,N,100.0,N,N
3179,TOWN,Towne Bank - Common Stock,Q,N,N,100.0,N,N
3180,TPCO,Tribune Publishing Company - Common Stock,G,N,N,100.0,N,N
3181,TPIC,"TPI Composites, Inc. - Common Stock",G,N,N,100.0,N,N
3182,TPTX,"Turning Point Therapeutics, Inc. - Common stock",Q,N,N,100.0,N,N
3183,TQQQ,ProShares UltraPro QQQ,G,N,N,100.0,Y,N
3184,TRCH,"Torchlight Energy Resources, Inc. - Common Stock",S,N,D,100.0,N,N
3185,TREE,"LendingTree, Inc. - Common Stock",Q,N,N,100.0,N,N
3186,TRHC,"Tabula Rasa HealthCare, Inc. - Common Stock",G,N,N,100.0,N,N
3187,TRIB,Trinity Biotech plc - American Depositary Shares each representing 4 A Ordinary Shares,Q,N,N,100.0,N,N
3188,TRIL,Trillium Therapeutics Inc. - Common Shares,S,N,N,100.0,N,N
3189,TRIP,"TripAdvisor, Inc. - Common Stock",Q,N,N,100.0,N,N
3190,TRMB,Trimble Inc. - Common Stock,Q,N,N,100.0,N,N
3191,TRMD,TORM plc - Class A Common Stock,Q,N,N,100.0,N,N
3192,TRMK,Trustmark Corporation - Common Stock,Q,N,N,100.0,N,N
3193,TRMT,Tremont Mortgage Trust - Common Shares of Beneficial Interest,S,N,N,100.0,N,N
3194,TRNS,"Transcat, Inc. - Common Stock",G,N,N,100.0,N,N
